Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
1920.009673333286;19158.57530239976;19146.05665439936;19158.96216319996;19158.25952639954;19158.228736799734;19158.02904559962;19157.8652271994;19158.20620399966;19158.90656479996;19158.274455199666;19157.937167199427;19158.94774879996;19157.971413599607;19158.180108799483;19158.92921599996;19155.307540800768;19153.791006398576;19153.678579198542;19155.294727998727;19154.6314143986;19154.320459198523;19159.071300799966;
1980.0096733332819;19158.54838079976;19145.676123199322;19158.92097919996;19158.16739519951;19158.201815199733;19157.964209599606;19157.836411199394;19158.141367999648;19158.88185439996;19158.18800719965;19157.90835119942;19158.91480159996;19157.906577599595;19158.136884799475;19158.89832799996;19155.179412800786;19153.603129598534;19153.5034895985;19155.210849598705;19154.422211198544;19154.19402719849;19159.054827199965;
2040.009673333282;19158.521459199757;19145.3185583993;19158.89215039996;19158.124171199503;19158.13697919972;19157.920985599598;19157.80759519939;19158.09814399964;19158.859203199958;19158.14478319964;19157.879535199416;19158.89215039996;19157.814446399567;19158.106174399465;19158.865380799958;19155.059064000805;19153.467342398504;19153.305204798457;19155.08237439867;19154.271636798505;19154.08381439846;19159.030116799964;
2100.009673333276;19158.494537599756;19144.94389119929;19158.867439999958;19158.095355199497;19158.050531199704;19157.856149599585;19157.738496799368;19158.033307999627;19158.826255999957;19158.115967199636;19157.810436799395;19158.867439999958;19157.77122239956;19158.075463999456;19158.842729599957;19154.932995200827;19153.32013599847;19153.169566398425;19154.921460798625;19154.14177279847;19153.906303998414;19158.997169599963;
2160.009673333268;19158.46572159975;19144.542043199275;19158.836551999957;19158.026256799476;19157.964083199688;19157.812925599577;19157.69527279936;19157.99008399962;19158.797427199956;19158.051131199623;19157.767212799386;19158.836551999957;19157.706386399546;19158.006365599435;19158.809782399956;19154.79777440085;19153.14481759843;19152.969206398375;19154.75572639858;19153.98391359843;19153.764254398375;19158.96422239996;
2220.0096733332575;19158.436905599745;19144.124497599274;19158.803604799956;19157.934125599448;19157.923700799685;19157.784109599572;19157.666456799354;19157.961267999613;19158.780953599955;19158.007907199615;19157.73839679938;19158.813900799956;19157.61993839953;19157.914234399406;19158.760361599954;19154.657291200874;19153.0090303984;19152.673814398302;19154.63930879855;19153.813539198385;19153.677124798352;19158.94157119996;
2280.0096733332466;19158.372069599733;19143.67555679928;19158.770657599955;19157.84199439942;19157.858864799673;19157.755293599566;19157.597358399333;19157.8964319996;19158.748006399954;19157.97909119961;19157.709580799376;19158.797427199956;19157.533490399514;19157.822103199378;19158.710940799952;19154.506283200903;19152.913375998378;19152.37842239823;19154.473574398504;19153.63416639834;19153.508139198308;19158.90862399996;
2340.009673333236;19158.33168719973;19143.202244799286;19158.748006399954;19157.79877039941;19157.81848239967;19157.72647759956;19157.505227199304;19157.809983999585;19158.698585599952;19157.950275199604;19157.640482399354;19158.772716799955;19157.447042399497;19157.72997199935;19158.66151999995;19154.34703840093;19152.766169598344;19152.083030398157;19154.327868798464;19153.52372479831;19153.25063519824;19158.87979519996;
2400.0096733332275;19158.302871199725;19142.757518399278;19158.723295999953;19157.769954399406;19157.79156079967;19157.66164159955;19157.413095999276;19157.72353599957;19158.64916479995;19157.9214591996;19157.548351199326;19158.739769599953;19157.40381839949;19157.63784079932;19158.62239519995;19154.197403200957;19152.5702207983;19151.853823998103;19154.24212799844;19153.397292798276;19152.989699198173;19158.863321599958;
2460.0096733332175;19158.27405519972;19142.34067519927;19158.69240799995;19157.700855999385;19157.764639199668;19157.61841759954;19157.320964799248;19157.637087999552;19158.59974399995;19157.856623199586;19157.505127199318;19158.708881599952;19157.375002399483;19157.545709599293;19158.589447999948;19154.05714880098;19152.39490239826;19151.655980798056;19154.164911998418;19153.236475198235;19152.732195198107;19158.846847999957;
